date,campaign,product,spend_czk,impressions,clicks,visual_hook,intent_framing
2026-05-24,Sleep Light,Sleeping Pad Inflate,268,16348,371,10s inflation timelapse,Convenience
2026-05-24,Daypack Daily,Backpack Daypack 25L,1747,113555,3791,Commuter to weekend cut,Versatility
2026-05-24,Cookware Hack,Cookware Set Titan,407,32560,556,Boil water in 90s timer,Practical demo
2026-05-24,Summit Pro,Tent Summit 3,2792,234528,6991,Group laughing in tent at dawn,Social aspirational
2026-05-25,Sleep Warm,Sleeping Bag Alpine -10,2138,153936,5562,Frost on tent fabric macro,Cold-weather pain solve
2026-05-25,Daypack Daily,Backpack Daypack 25L,2927,175620,5438,Commuter to weekend cut,Versatility
2026-05-25,Backpack Hero,Backpack Trek 45L,1273,132392,2823,Mountain ridge sunset b-roll,Aspirational adventure
2026-05-25,Sleep Light,Sleeping Pad Inflate,373,24618,574,10s inflation timelapse,Convenience
2026-05-25,Spring Tents Push,Tent Alpine 2,1604,158796,5850,Pitch in 60 seconds,FOMO summer launch
2026-05-26,Summit Pro,Tent Summit 3,308,31724,547,Group laughing in tent at dawn,Social aspirational
2026-05-26,Sleep Light,Sleeping Pad Inflate,359,34823,1228,10s inflation timelapse,Convenience
2026-05-26,Compact Stove,Cookware Stove Compact,2878,253264,5582,Single-hand assembly clip,Convenience
2026-05-26,Backpack Hero,Backpack Trek 45L,1377,136323,3440,Mountain ridge sunset b-roll,Aspirational adventure
2026-05-26,Cookware Hack,Cookware Set Titan,329,27307,943,Boil water in 90s timer,Practical demo
2026-05-27,Proto Stealth,Tent UNRELEASED PROTO,450,38000,720,Concept render,Pre-launch tease
